黄脚三趾鹑 Turnix tanki
冠纹柳莺 Phylloscopus claudiae
冕柳莺 Phylloscopus coronatus
煤山雀 Periparus ater
长尾山椒鸟 Pericrocotus ethologus
中华朱雀 (红眉朱雀) Carpodacus davidianus
粉红胸鹨 Anthus roseatus
棕眉柳莺 Phylloscopus armandii
云南柳莺 Phylloscopus yunnanensis
红嘴山鸦 Pyrrhocorax pyrrhocorax
黑鹳 Ciconia nigra
小蝗莺 Helopsaltes certhiola
白腰雨燕 Apus pacificus
黄头鹡鸰 Motacilla citreola
棕扇尾莺 Cisticola juncidis
尖尾滨鹬 Calidris acuminata
双斑绿柳莺 Phylloscopus plumbeitarsus
北椋鸟 Agropsar sturninus
赤腹鹰 Tachyspiza soloensis
黄苇鳽 Botaurus sinensis
灰头鹀 Emberiza spodocephala
厚嘴苇莺 Arundinax aedon
黑翅鸢 Elanus caeruleus
牛背鹭 Ardea coromanda
凤头蜂鹰 Pernis ptilorhynchus
四声杜鹃 Cuculus micropterus
须浮鸥 Chlidonias hybrida
鸥嘴噪鸥 Gelochelidon nilotica
白额燕鸥 Sternula albifrons
弯嘴滨鹬 Calidris ferruginea
青脚鹬 Tringa nebularia
林鹬 Tringa glareola
黑尾塍鹬 Limosa limosa
栗耳鹀 Emberiza fucata
理氏鹨 Anthus richardi
红喉歌鸲 Calliope calliope
蓝喉歌鸲 Luscinia svecica
巨嘴柳莺 Phylloscopus schwarzi
中华攀雀 Remiz consobrinus
红脚隼 (阿穆尔隼) Falco amurensis
鹊鹞 Circus melanoleucos
草鹭 Ardea purpurea
白翅浮鸥 Chlidonias leucopterus
针尾沙锥 Gallinago stenura
灰头麦鸡 Vanellus cinereus
金斑鸻 Pluvialis fulva
普通秧鸡 Rallus indicus
青头潜鸭 Aythya baeri
小太平鸟 Bombycilla japonica
红尾伯劳 Lanius cristatus
白眉鹀 Emberiza tristrami
栗鹀 Emberiza rutila
黑卷尾 Dicrurus macrocercus
大杜鹃 Cuculus canorus
三道眉草鹀 Emberiza cioides
黄鹡鸰 Motacilla tschutschensis
扇尾沙锥 Gallinago gallinago
北灰鹟 Muscicapa dauurica
东方大苇莺 Acrocephalus orientalis
黑眉苇莺 Acrocephalus bistrigiceps
普通燕鸥 Sterna hirundo
池鹭 Ardeola bacchus
矶鹬 Actitis hypoleucos
红喉姬鹟 Ficedula albicilla
丝光椋鸟 Spodiopsar sericeus
褐柳莺 Phylloscopus fuscatus
燕隼 Falco subbuteo
白眉鸭 Spatula querquedula
暗绿绣眼鸟 Zosterops simplex
树鹨 Anthus hodgsoni
虎斑地鸫 (怀氏虎鸫) Zoothera aurea
淡眉柳莺 Phylloscopus humei
黄眉柳莺 Phylloscopus inornatus
黑鸢 Milvus migrans
白腹鹞 Circus spilonotus
黑翅长脚鹬 Himantopus himantopus
环颈雉 Phasianus colchicus
东亚石䳭 Saxicola stejnegeri
灰鹡鸰 Motacilla cinerea
红尾水鸲 Phoenicurus fuliginosus
黄腹山雀 Periparus venustulus
山鹛 Rhopophilus pekinensis
山噪鹛 Pterorhinus davidi
金腰燕 Cecropis daurica
红颈苇鹀 Emberiza yessoensis
黄腰柳莺 Phylloscopus proregulus
游隼 Falco peregrinus
鹗 Pandion haliaetus
普通秋沙鸭 Mergus merganser
金眶鸻 Thinornis dubius
小鹀 Emberiza pusilla
斑鸫 Turdus eunomus
赤颈鸫 Turdus ruficollis
家燕 Hirundo rustica
大白鹭 Ardea alba
白琵鹭 Platalea leucorodia
反嘴鹬 Recurvirostra avosetta
灰雁 Anser anser
灰眉岩鹀/西南灰眉岩鹀 Emberiza godlewskii
红嘴蓝鹊 Urocissa erythroryncha
苇鹀 Emberiza pallasi
震旦鸦雀 Paradoxornis heudei
普通翠鸟 Alcedo atthis
普通雨燕 (普通楼燕) Apus apus
北红尾鸲 Phoenicurus auroreus
银喉长尾山雀 Aegithalos glaucogularis
褐头山雀 Poecile montanus
普通鵟 Buteo japonicus
红尾斑鸫 Turdus naumanni
蒙古银鸥 Larus mongolicus
红嘴鸥 Chroicocephalus ridibundus
黑头䴓 Sitta villosa
棕头鸦雀 Suthora webbiana
沼泽山雀 Poecile palustris
雀鹰 Accipiter nisus
普通鸬鹚 Phalacrocorax carbo
山斑鸠 Streptopelia orientalis
鸳鸯 Aix galericulata
小天鹅 Cygnus columbianus
鸿雁 Anser cygnoides
灰头绿啄木鸟 Picus canus
黄喉鹀 Emberiza elegans
红隼 Falco tinnunculus
秃鼻乌鸦 Corvus frugilegus
达乌里寒鸦 Coloeus dauuricus
苍鹭 Ardea cinerea
灰斑鸠 Streptopelia decaocto
罗纹鸭 Mareca falcata
大天鹅 Cygnus cygnus
短嘴豆雁 Anser serrirostris
疣鼻天鹅 Cygnus olor
水鹨 Anthus spinoletta
白鹡鸰 Motacilla alba
大山雀 Parus cinereus
棕背伯劳 Lanius schach
白鹭 Egretta garzetta
凤头䴙䴘 Podiceps cristatus
白腰草鹬 Tringa ochropus
白骨顶 (骨顶鸡) Fulica atra
黑水鸡 Gallinula chloropus
绿翅鸭/美洲绿翅鸭 Anas crecca
斑嘴鸭 Anas zonorhyncha
赤膀鸭 Mareca strepera
赤麻鸭 Tadorna ferruginea
戴胜 Upupa epops
原鸽 Columba livia
黑尾蜡嘴雀 Eophona migratoria
灰椋鸟 Spodiopsar cineraceus
大斑啄木鸟 Dendrocopos major
八哥 Acridotheres cristatellus
小嘴乌鸦 Corvus corone
星头啄木鸟 Yungipicus canicapillus
金翅雀 Chloris sinica
燕雀 Fringilla montifringilla
麻雀 (树麻雀) Passer montanus
乌鸫 Turdus mandarinus
白头鹎 Pycnonotus sinensis
大嘴乌鸦/丛林鸦 Corvus macrorhynchos
喜鹊 Pica serica
灰喜鹊 Cyanopica cyanus
夜鹭 Nycticorax nycticorax
珠颈斑鸠 Spilopelia chinensis
绿头鸭 Anas platyrhynchos
小䴙䴘 Tachybaptus ruficollis
